sensor0,sensor1,sensor2,sensor32,sensor33,sensor34
49.52,51.87,44.79,49.22,33.85,87.76
49.52,51.87,44.79,50.52,34.11,83.07
49.52,51.87,44.88,51.3,34.11,80.73
49.52,51.87,44.88,51.04,34.11,79.69
49.52,51.87,44.88,51.04,34.11,79.69
49.52,51.87,44.92,50.52,34.38,81.25
49.52,51.87,44.92,49.48,34.38,81.25
49.52,51.82,44.92,49.22,34.11,81.77
49.52,51.87,44.97,49.22,34.11,81.25
49.52,51.87,44.97,49.48,34.38,81.25
49.52,51.82,44.97,48.7,34.9,80.47
49.48,51.87,44.97,47.92,34.38,77.08
49.48,51.91,44.97,47.92,34.38,75.78
49.48,51.82,44.97,47.14,34.11,75.78
49.48,51.82,45.01,46.88,34.11,76.56
49.48,51.87,45.01,46.61,34.11,76.04
49.48,51.82,45.01,47.4,34.38,74.74
49.48,51.74,45.01,48.44,34.9,74.74
49.48,51.82,45.01,49.48,34.38,76.04
49.48,51.82,45.01,50.52,34.11,76.04
49.48,51.82,45.01,50.78,33.85,76.56
49.48,51.74,45.01,51.04,33.59,78.39
49.48,51.74,45.01,51.04,33.59,81.25
49.48,51.69,45.1,50.52,33.59,89.08
49.48,51.74,45.1,49.48,33.59,95.05
49.48,51.65,45.1,48.44,33.59,98.18
49.48,51.74,45.14,47.92,33.85,98.7
49.48,51.74,45.14,47.4,33.85,98.18
49.48,51.69,45.14,47.4,34.11,98.7
49.48,51.69,45.14,47.4,34.11,103.39
49.48,51.74,45.1,46.88,34.38,108.07
49.48,51.74,45.1,46.09,34.11,111.98
49.48,51.69,45.01,45.83,34.38,114.32
49.48,51.69,44.97,45.31,35.16,114.32
49.44,51.69,44.92,44.79,35.16,110.94
49.44,51.69,44.88,45.31,35.16,105.21
49.44,51.74,44.79,45.31,34.9,100.0
49.44,51.69,44.79,44.79,34.38,95.05
49.35,51.69,44.75,45.31,34.38,89.58
49.44,51.69,44.75,45.57,34.9,83.85
49.44,51.65,44.75,45.31,34.9,79.95
49.44,51.69,44.75,45.83,34.9,77.34
49.35,51.69,44.79,46.88,35.42,76.56
49.26,51.69,44.79,47.4,35.68,76.56
49.35,51.69,44.88,47.92,35.42,74.74
49.42,51.65,44.88,48.18,35.16,71.88
49.35,51.65,44.92,48.44,34.9,70.31
49.35,51.69,44.92,50.0,35.16,70.31
49.35,51.69,44.97,49.19,35.68,70.31
49.35,51.69,44.97,49.17,35.68,67.97
49.35,51.65,44.97,49.03,35.68,65.36
49.35,51.67,44.97,48.84,35.42,66.41
49.35,51.82,44.92,48.57,35.42,69.53
49.35,51.69,44.88,48.27,35.42,75.26
49.35,51.74,44.79,47.99,35.16,78.65
49.35,51.69,44.75,49.74,35.16,80.99
49.35,51.74,44.7,49.22,35.68,82.29
49.35,51.74,44.66,48.18,36.98,83.85
49.35,51.69,44.57,47.92,37.76,82.55
49.35,51.69,44.49,47.4,37.5,79.69
49.31,51.65,44.36,46.09,36.98,77.08
49.31,51.61,44.27,44.79,35.68,77.34
49.31,51.65,44.26,44.01,35.16,79.95
49.26,51.65,44.21,44.27,33.85,79.95
49.26,51.65,44.17,44.27,33.85,79.95
49.26,51.61,44.13,45.31,33.07,77.34
49.26,51.61,44.09,45.57,32.55,73.18
49.22,51.65,44.06,45.57,31.77,68.23
49.22,51.61,44.02,45.83,31.51,66.93
49.13,51.52,44.0,46.09,31.25,85.04
49.09,51.52,43.97,47.92,30.99,86.2
49.09,51.52,43.96,48.18,30.47,86.61
49.05,51.52,43.95,47.92,30.47,86.63
49.0,51.52,43.79,47.14,30.21,86.1
49.0,51.43,43.79,48.44,30.47,85.28
49.0,51.43,43.71,49.48,31.25,84.37
48.91,51.48,43.71,49.48,30.99,83.55
48.91,51.43,43.79,49.22,30.21,83.15
48.87,51.43,43.84,48.44,29.95,83.15
48.87,51.43,43.88,47.14,30.47,88.28
48.83,51.39,43.92,45.83,30.99,88.8
48.83,51.39,43.92,45.31,30.47,87.76
48.78,51.39,44.01,44.79,29.95,84.38
48.78,51.3,44.05,44.53,29.69,79.95
48.7,51.39,44.05,45.31,29.69,77.86
48.7,51.39,44.1,46.88,29.69,77.34
48.65,51.3,44.1,48.18,29.95,77.86
48.57,51.3,44.1,48.18,30.47,77.34
48.57,51.3,44.1,48.18,30.47,77.34
48.61,51.26,44.14,48.44,29.95,75.52
48.57,51.22,44.14,47.92,29.69,72.66
48.57,51.26,44.14,47.14,29.17,69.27
48.48,51.22,44.14,47.14,29.17,67.97
48.48,51.22,44.23,47.4,29.17,70.31
48.44,51.22,44.23,48.18,28.91,71.61
48.44,51.22,44.23,49.22,28.91,72.14
48.39,51.22,44.23,49.48,28.65,71.35
48.39,51.17,44.27,48.7,28.65,71.61
48.39,51.09,44.27,47.4,28.65,71.35
48.35,51.09,44.27,46.61,28.65,70.57
48.35,51.17,44.31,45.57,28.65,69.01
48.35,51.09,44.31,45.31,28.65,68.75
48.26,51.09,44.31,44.01,28.91,71.61
48.26,51.04,44.31,43.23,29.17,74.48
48.26,51.04,44.31,42.19,29.95,77.08
48.26,51.0,44.31,41.41,30.47,79.95
48.22,51.0,44.31,40.62,31.77,79.69
48.22,50.95,44.31,40.1,32.81,77.34
48.22,50.95,44.23,40.1,33.59,75.52
48.18,51.0,44.1,40.36,33.07,76.04
48.18,50.95,43.92,40.62,33.07,79.43
48.18,50.87,43.88,41.67,33.59,82.01
48.13,50.82,43.84,41.67,33.07,82.19
48.13,50.95,43.81,41.41,32.29,81.91
48.05,50.87,43.78,41.93,31.51,81.5
48.05,50.82,43.75,41.93,30.99,80.96
48.0,50.82,43.72,41.67,30.21,80.32
48.0,50.82,43.68,41.93,29.95,86.46
47.96,50.82,43.65,42.19,29.17,83.59
47.92,50.78,43.62,42.71,28.91,80.73
47.92,50.78,43.61,42.97,28.91,79.17
47.83,50.78,43.45,42.97,28.91,77.34
47.83,50.74,43.45,43.23,28.91,76.56
47.79,50.65,43.4,43.49,29.17,78.65
47.79,50.65,43.4,43.49,29.17,78.65
47.79,50.74,43.4,43.49,29.17,78.65
47.79,50.65,43.4,43.49,29.69,76.56
47.74,50.65,43.45,44.01,29.69,74.22
47.74,50.65,43.49,43.49,30.47,71.35
47.7,50.65,43.58,43.23,31.25,71.35
47.7,50.61,43.62,44.01,31.51,72.92
47.7,50.61,43.66,44.53,31.77,73.18
47.61,50.61,43.71,45.31,31.77,70.83
47.61,50.61,43.71,45.83,31.51,67.71
47.61,50.56,43.79,45.83,31.51,68.23
47.57,50.56,43.79,45.57,31.51,69.01
47.57,50.56,43.84,46.09,31.51,70.83
47.57,50.52,43.84,46.09,31.25,72.14
47.57,50.52,43.88,46.61,30.99,73.44
47.53,50.43,43.88,46.88,30.99,75.26
47.53,50.52,43.88,47.14,30.99,75.52
47.48,50.39,43.92,47.4,30.99,74.74
47.48,50.43,43.92,47.4,30.47,73.18
47.48,50.43,43.92,47.92,30.99,71.35
47.4,50.43,44.01,48.7,32.29,69.53
47.4,50.39,44.01,49.22,33.59,66.93
47.35,50.39,44.01,49.22,33.59,65.1
47.35,50.39,44.01,49.22,33.07,63.8
47.35,50.39,44.01,49.48,32.55,62.24
47.31,50.35,44.01,48.44,31.77,61.46
47.31,50.35,44.01,48.18,31.77,63.8
47.31,50.39,44.01,48.7,32.29,66.41
47.27,50.3,44.01,49.48,31.77,66.93
47.27,50.35,44.05,50.52,31.77,66.41
47.27,50.3,44.01,50.78,31.77,65.62
47.27,50.3,44.01,50.78,32.29,63.8
47.18,50.35,44.01,50.52,32.29,62.5
47.18,50.3,43.92,50.0,32.55,60.42
47.18,50.3,43.84,49.48,32.55,58.33
47.18,50.22,43.71,49.74,32.55,57.03
47.14,50.22,43.58,50.0,32.55,54.43
47.14,50.22,43.57,49.74,33.07,52.34
47.14,50.22,43.55,49.48,33.59,52.08
47.14,50.17,43.53,48.7,32.81,53.65
47.09,50.17,43.51,48.18,31.77,54.69
47.09,50.17,43.5,47.92,31.25,54.69
47.09,50.13,43.5,47.92,30.47,53.65
47.09,50.13,43.49,48.44,30.99,53.91
47.09,50.13,43.49,50.0,31.77,65.82
47.05,50.17,43.49,55.03,31.51,66.85
47.05,50.17,43.49,53.91,31.51,67.14
47.05,50.13,43.36,55.73,31.77,67.16
47.05,50.09,43.4,58.92,32.29,67.16
47.05,50.09,43.45,60.2,32.81,67.06
46.96,50.17,43.49,61.3,33.07,67.04
46.96,50.09,43.49,62.37,32.81,67.16
46.96,50.09,43.49,64.06,32.81,67.59
46.96,50.0,43.58,64.72,33.59,68.26
46.96,50.0,43.58,65.76,34.38,73.44
46.92,50.0,43.58,66.6,34.9,70.31
46.92,50.09,43.62,67.06,34.38,68.23
46.92,50.0,43.62,67.52,34.38,68.23
46.92,50.09,43.62,67.88,34.9,67.97
46.88,50.09,43.66,68.09,35.16,68.75
46.88,50.09,43.66,68.37,35.16,68.75
46.88,49.96,43.66,68.59,35.42,71.88
46.88,49.91,43.66,68.71,35.68,75.26
46.88,49.91,43.66,68.64,35.42,77.86
46.83,49.91,43.66,68.51,35.16,79.17
46.83,49.96,43.66,68.29,35.42,78.65
46.83,49.91,43.71,68.01,35.68,77.86
46.83,49.91,43.71,67.74,35.16,77.34
46.83,49.91,43.71,69.27,34.38,76.04
46.74,49.87,43.71,69.01,33.85,75.26
46.74,49.87,43.71,68.75,33.07,73.18
46.74,49.78,43.71,67.97,32.55,70.05
46.74,49.87,43.71,66.67,32.29,65.62
46.74,49.78,43.79,65.62,32.29,65.62
46.7,49.74,43.79,64.84,32.55,66.41
46.7,49.74,43.79,64.32,32.81,65.36
46.7,49.87,43.79,65.1,33.07,64.84
46.7,49.78,43.79,65.62,33.07,65.62
46.7,49.74,43.79,65.36,32.81,66.93
46.66,49.74,43.84,65.1,32.81,66.93
46.66,49.78,43.84,66.15,33.59,67.45
46.66,49.78,43.84,66.41,34.38,66.93
46.66,49.78,43.84,67.45,35.16,66.41
46.66,49.87,43.84,69.01,35.16,65.62
46.61,49.87,43.88,70.57,35.16,65.1
46.61,49.87,43.88,70.57,34.9,62.24
46.61,49.87,43.88,69.01,34.9,58.59
46.61,49.87,43.88,69.01,34.9,58.59
46.61,49.87,43.88,63.03,35.16,59.11
46.61,49.91,43.88,61.2,34.38,60.94
46.61,49.87,43.88,61.84,34.11,62.24
46.53,49.91,43.88,61.22,33.85,61.72
46.53,49.87,43.88,60.57,33.59,60.42
46.53,49.91,43.88,59.83,32.81,59.64
46.53,49.87,43.88,58.96,31.77,57.55
46.53,49.87,43.88,57.97,31.25,57.55
46.53,49.87,43.92,56.93,31.25,56.51
46.53,49.87,43.92,55.21,30.47,54.69
46.53,49.87,43.92,54.43,30.21,52.6
46.53,49.87,43.92,52.6,29.95,52.6
46.53,49.87,43.92,51.04,29.69,57.03
46.53,49.87,43.92,50.52,29.69,64.44
46.53,49.91,43.92,49.74,29.69,69.27
46.53,49.96,43.92,49.48,29.69,74.48
46.53,49.91,43.92,49.22,29.95,76.04
46.53,49.91,43.92,47.92,30.21,75.26
46.53,49.91,43.92,47.92,31.25,73.96
46.53,49.96,43.92,47.4,31.51,72.66
46.53,49.87,43.92,46.09,31.77,71.35
46.53,49.87,43.88,44.53,31.77,71.35
46.53,49.91,43.88,43.49,31.77,70.57
46.61,49.87,43.88,43.49,31.25,69.27
46.61,49.91,43.84,43.23,30.99,66.93
46.61,49.78,43.84,43.49,30.47,65.62
46.61,49.87,43.79,44.27,31.25,65.1
46.61,49.78,43.71,44.53,32.29,65.62
46.61,49.91,43.66,44.79,32.81,65.62
46.66,49.78,43.62,45.31,33.85,66.67
46.66,49.87,43.62,45.83,34.38,67.97
46.66,49.87,43.49,45.57,34.11,66.93
46.66,49.87,43.49,45.57,34.11,66.93
46.66,49.74,43.45,45.31,33.85,67.71
46.66,49.74,43.4,44.79,33.07,67.71
46.66,49.78,43.36,45.31,33.59,68.23
46.7,49.74,43.27,46.61,33.85,67.45
46.7,49.7,43.27,48.18,34.38,65.62
46.7,49.7,43.23,49.22,34.9,63.8
46.7,49.65,43.19,49.74,34.9,61.46
46.7,49.74,43.14,49.48,34.38,59.9
46.7,49.7,43.14,49.22,34.38,58.59
46.7,49.7,43.06,48.44,33.85,56.51
46.7,49.7,43.01,48.18,33.59,55.21
46.7,49.57,42.97,47.4,32.81,54.95
46.7,49.65,42.93,46.09,31.77,55.21
46.74,49.65,42.93,45.57,31.25,56.51
46.74,49.65,42.84,45.31,30.99,58.85
46.74,49.65,42.8,49.71,31.51,59.9
46.74,49.65,42.8,49.74,31.51,61.2
46.74,49.7,42.8,51.3,31.25,61.72
46.74,49.7,42.8,52.08,30.47,60.42
46.74,49.7,42.8,52.08,30.21,57.81
46.74,49.7,42.8,52.08,30.21,54.43
46.74,49.65,42.84,52.6,30.21,52.6
46.74,49.7,42.84,53.12,30.21,52.08
46.74,49.74,42.84,53.12,30.21,52.08
46.74,49.7,42.93,52.08,29.95,65.26
46.74,49.7,42.93,51.3,29.95,60.94
46.74,49.74,42.93,50.78,29.95,60.16
46.83,49.74,42.93,50.0,30.21,63.54
46.83,49.74,42.97,49.22,30.21,71.22
